run_id,tier,score,threshold,green,stages,failures,spindlebox_version
r-20260722-210525,0,100.0,95,True,43,0,0.3.0
r-20260722-210556,0,100.0,95,True,43,0,0.3.0
r-20260722-212116,0,100.0,95,True,43,0,0.3.0
r-20260722-212349,0,100.0,95,True,43,0,0.3.1
r-20260722-212520,0,93.65,95,False,43,2,0.3.1
r-20260722-212604,0,93.65,95,False,43,2,0.3.1
r-20260722-212657,0,93.65,95,False,43,2,0.3.1
r-20260722-213118,0,100.0,95,True,43,0,0.3.2
r-20260722-214111,0,100.0,95,True,43,0,0.3.3
r-20260722-214240,0,100.0,95,True,43,0,0.3.3
r-20260722-215252,0,100.0,95,True,43,0,0.3.4
r-20260722-215322,0,100.0,95,True,43,0,0.3.4
r-20260722-220734,0,100.0,95,True,43,0,0.3.4
r-20260722-220903,0,100.0,95,True,43,0,0.3.5
r-20260722-220917,1,85.88,90,False,30,3,0.3.5
r-20260722-221508,0,100.0,95,True,43,0,0.4.0
r-20260722-221927,0,100.0,95,True,43,0,0.4.1
r-20260722-222414,0,100.0,95,True,43,0,0.4.2
r-20260722-222452,1,100.0,90,True,30,0,0.4.2
r-20260722-223752,0,100.0,95,True,43,0,0.5.1
r-20260722-223804,2,94.74,90,False,32,1,0.5.1
r-20260722-224420,0,100.0,95,True,43,0,0.5.3
r-20260722-224459,2,100.0,90,True,32,0,0.5.3
r-20260722-225207,0,100.0,95,True,43,0,0.5.4
r-20260722-225215,3,94.74,90,False,32,1,0.5.4
r-20260722-225743,0,100.0,95,True,43,0,0.5.5
r-20260722-225757,3,88.16,90,False,32,2,0.5.5
r-20260722-230559,0,100.0,95,True,43,0,0.6.0
r-20260722-230625,3,94.74,90,False,32,1,0.6.0
r-20260722-231339,0,100.0,95,True,43,0,0.6.1
r-20260722-231353,3,100.0,90,True,32,0,0.6.1
r-20260722-232857,0,100.0,95,True,43,0,0.6.1
r-20260722-234414,0,100.0,95,True,43,0,0.6.1
r-20260722-235250,0,100.0,95,True,49,0,0.7.0
r-20260722-235353,1,100.0,90,True,36,0,0.7.0
r-20260723-000810,0,100.0,95,True,49,0,0.7.0
r-20260723-002056,0,100.0,95,True,65,0,0.8.0
r-20260723-002221,1,100.0,90,True,48,0,0.8.0
r-20260723-002547,0,100.0,95,True,65,0,0.8.0
r-20260723-002604,1,100.0,90,True,48,0,0.8.0
r-20260723-002925,2,94.74,90,False,40,2,0.8.0
r-20260723-003453,0,100.0,95,True,65,0,0.8.1
r-20260723-003638,2,100.0,90,True,40,0,0.8.1
r-20260723-003851,3,100.0,90,True,40,0,0.8.1
r-20260723-004235,0,100.0,95,True,65,0,0.9.0
r-20260723-004257,2,100.0,90,True,40,0,0.9.0
r-20260723-004337,3,100.0,90,True,40,0,0.9.0
r-20260723-005801,0,100.0,95,True,65,0,0.9.0
r-20260723-010842,0,100.0,95,True,65,0,0.9.0
r-20260723-011239,0,100.0,95,True,65,0,0.10.0
r-20260723-012806,0,100.0,95,True,65,0,0.10.0
r-20260723-013646,0,100.0,95,True,65,0,1.0.0
r-20260723-014015,0,100.0,95,True,65,0,1.0.0
r-20260723-014339,0,100.0,95,True,65,0,1.0.0
r-20260723-015032,0,100.0,95,True,65,0,1.0.0
r-20260723-015137,0,100.0,95,True,65,0,1.0.0
r-20260723-015247,0,100.0,95,True,65,0,1.0.0
